        1000  1.000000000000000E-002           2   1.00000000000000     
   0.68000000D+00  0.15888405D+02  0.38119327D+01 -0.36257374D+02
   0.69000000D+00  0.15820861D+02  0.38576043D+01 -0.36057759D+02
   0.70000000D+00  0.15750830D+02  0.39046112D+01 -0.35852095D+02
   0.71000000D+00  0.15678262D+02  0.39529350D+01 -0.35640395D+02
   0.72000000D+00  0.15603107D+02  0.40025545D+01 -0.35422680D+02
   0.73000000D+00  0.15525315D+02  0.40534457D+01 -0.35198980D+02
   0.74000000D+00  0.15444835D+02  0.41055812D+01 -0.34969335D+02
   0.75000000D+00  0.15361620D+02  0.41589313D+01 -0.34733789D+02
   0.76000000D+00  0.15275621D+02  0.42134623D+01 -0.34492398D+02
   0.77000000D+00  0.15186790D+02  0.42691384D+01 -0.34245226D+02
   0.78000000D+00  0.15095079D+02  0.43259201D+01 -0.33992342D+02
   0.79000000D+00  0.15000443D+02  0.43837654D+01 -0.33733828D+02
   0.80000000D+00  0.14902835D+02  0.44426285D+01 -0.33469769D+02
   0.81000000D+00  0.14802212D+02  0.45024614D+01 -0.33200263D+02
   0.82000000D+00  0.14698529D+02  0.45632124D+01 -0.32925412D+02
   0.83000000D+00  0.14591743D+02  0.46248271D+01 -0.32645327D+02
   0.84000000D+00  0.14481814D+02  0.46872479D+01 -0.32360129D+02
   0.85000000D+00  0.14368701D+02  0.47504144D+01 -0.32069943D+02
   0.86000000D+00  0.14252365D+02  0.48142630D+01 -0.31774905D+02
   0.87000000D+00  0.14132769D+02  0.48787275D+01 -0.31475154D+02
   0.88000000D+00  0.14009876D+02  0.49437382D+01 -0.31170840D+02
   0.89000000D+00  0.13883653D+02  0.50092234D+01 -0.30862117D+02
   0.90000000D+00  0.13754066D+02  0.50751073D+01 -0.30549148D+02
   0.91000000D+00  0.13621086D+02  0.51413130D+01 -0.30232101D+02
   0.92000000D+00  0.13484682D+02  0.52077590D+01 -0.29911150D+02
   0.93000000D+00  0.13344827D+02  0.52743626D+01 -0.29586474D+02
   0.94000000D+00  0.13201498D+02  0.53410376D+01 -0.29258261D+02
   0.95000000D+00  0.13054671D+02  0.54076957D+01 -0.28926701D+02
   0.96000000D+00  0.12904326D+02  0.54742458D+01 -0.28591990D+02
   0.97000000D+00  0.12750445D+02  0.55405941D+01 -0.28254329D+02
   0.98000000D+00  0.12593012D+02  0.56066453D+01 -0.27913924D+02
   0.99000000D+00  0.12432015D+02  0.56723005D+01 -0.27570983D+02
   0.10000000D+01  0.12267444D+02  0.57374600D+01 -0.27225720D+02
   0.10100000D+01  0.12099290D+02  0.58020206D+01 -0.26878351D+02
   0.10200000D+01  0.11927551D+02  0.58658778D+01 -0.26529096D+02
   0.10300000D+01  0.11752224D+02  0.59289250D+01 -0.26178177D+02
   0.10400000D+01  0.11573313D+02  0.59910532D+01 -0.25825819D+02
   0.10500000D+01  0.11390821D+02  0.60521525D+01 -0.25472249D+02
   0.10600000D+01  0.11204757D+02  0.61121102D+01 -0.25117694D+02
   0.10700000D+01  0.11015134D+02  0.61708126D+01 -0.24762385D+02
   0.10800000D+01  0.10821967D+02  0.62281445D+01 -0.24406552D+02
   0.10900000D+01  0.10625276D+02  0.62839887D+01 -0.24050427D+02
   0.11000000D+01  0.10425084D+02  0.63382274D+01 -0.23694240D+02
   0.11100000D+01  0.10221418D+02  0.63907410D+01 -0.23338224D+02
   0.11200000D+01  0.10014309D+02  0.64414087D+01 -0.22982607D+02
   0.11300000D+01  0.98037913D+01  0.64901096D+01 -0.22627622D+02
   0.11400000D+01  0.95899060D+01  0.65367208D+01 -0.22273496D+02
   0.11500000D+01  0.93726965D+01  0.65811192D+01 -0.21920456D+02
   0.11600000D+01  0.91522095D+01  0.66231812D+01 -0.21568729D+02
   0.11700000D+01  0.89284995D+01  0.66627823D+01 -0.21218536D+02
   0.11800000D+01  0.87016226D+01  0.66997978D+01 -0.20870098D+02
   0.11900000D+01  0.84716397D+01  0.67341029D+01 -0.20523634D+02
   0.12000000D+01  0.82386194D+01  0.67655726D+01 -0.20179356D+02
   0.12100000D+01  0.80026314D+01  0.67940819D+01 -0.19837477D+02
   0.12200000D+01  0.77637510D+01  0.68195061D+01 -0.19498204D+02
   0.12300000D+01  0.75220616D+01  0.68417211D+01 -0.19161738D+02
   0.12400000D+01  0.72776471D+01  0.68606029D+01 -0.18828280D+02
   0.12500000D+01  0.70305978D+01  0.68760283D+01 -0.18498025D+02
   0.12600000D+01  0.67810121D+01  0.68878757D+01 -0.18171159D+02
   0.12700000D+01  0.65289891D+01  0.68960237D+01 -0.17847868D+02
   0.12800000D+01  0.62746337D+01  0.69003521D+01 -0.17528333D+02
   0.12900000D+01  0.60180600D+01  0.69007437D+01 -0.17212723D+02
   0.13000000D+01  0.57593825D+01  0.68970812D+01 -0.16901208D+02
   0.13100000D+01  0.54987208D+01  0.68892492D+01 -0.16593951D+02
   0.13200000D+01  0.52362043D+01  0.68771367D+01 -0.16291103D+02
   0.13300000D+01  0.49719637D+01  0.68606329D+01 -0.15992815D+02
   0.13400000D+01  0.47061327D+01  0.68396288D+01 -0.15699232D+02
   0.13500000D+01  0.44388557D+01  0.68140214D+01 -0.15410487D+02
   0.13600000D+01  0.41702797D+01  0.67837092D+01 -0.15126707D+02
   0.13700000D+01  0.39005527D+01  0.67485916D+01 -0.14848019D+02
   0.13800000D+01  0.36298325D+01  0.67085753D+01 -0.14574535D+02
   0.13900000D+01  0.33582820D+01  0.66635712D+01 -0.14306360D+02
   0.14000000D+01  0.30860642D+01  0.66134901D+01 -0.14043598D+02
   0.14100000D+01  0.28133483D+01  0.65582495D+01 -0.13786342D+02
   0.14200000D+01  0.25403120D+01  0.64977754D+01 -0.13534673D+02
   0.14300000D+01  0.22671335D+01  0.64319948D+01 -0.13288669D+02
   0.14400000D+01  0.19939928D+01  0.63608370D+01 -0.13048405D+02
   0.14500000D+01  0.17210795D+01  0.62842449D+01 -0.12813939D+02
   0.14600000D+01  0.14485857D+01  0.62021658D+01 -0.12585322D+02
   0.14700000D+01  0.11767040D+01  0.61145470D+01 -0.12362604D+02
   0.14800000D+01  0.90563158D+00  0.60213462D+01 -0.12145826D+02
   0.14900000D+01  0.63557260D+00  0.59225347D+01 -0.11935011D+02
   0.15000000D+01  0.36673147D+00  0.58180850D+01 -0.11730180D+02
   0.15100000D+01  0.99313374D-01  0.57079716D+01 -0.11531356D+02
   0.15200000D+01 -0.16647061D+00  0.55921885D+01 -0.11338538D+02
   0.15300000D+01 -0.43040651D+00  0.54707387D+01 -0.11151719D+02
   0.15400000D+01 -0.69228036D+00  0.53436254D+01 -0.10970893D+02
   0.15500000D+01 -0.95187696D+00  0.52108589D+01 -0.10796043D+02
   0.15600000D+01 -0.12089772D+01  0.50724743D+01 -0.10627137D+02
   0.15700000D+01 -0.14633609D+01  0.49285115D+01 -0.10464135D+02
   0.15800000D+01 -0.17148082D+01  0.47790107D+01 -0.10306996D+02
   0.15900000D+01 -0.19630986D+01  0.46240258D+01 -0.10155673D+02
   0.16000000D+01 -0.22080104D+01  0.44636372D+01 -0.10010094D+02
   0.16100000D+01 -0.24493222D+01  0.42979281D+01 -0.98701891D+01
   0.16200000D+01 -0.26868123D+01  0.41269823D+01 -0.97358851D+01
   0.16300000D+01 -0.29202607D+01  0.39509025D+01 -0.96070974D+01
   0.16400000D+01 -0.31494496D+01  0.37698194D+01 -0.94837222D+01
   0.16500000D+01 -0.33741614D+01  0.35838657D+01 -0.93656543D+01
   0.16600000D+01 -0.35941786D+01  0.33931747D+01 -0.92527881D+01
   0.16700000D+01 -0.38092879D+01  0.31979012D+01 -0.91450050D+01
   0.16800000D+01 -0.40192821D+01  0.29982304D+01 -0.90421676D+01
   0.16900000D+01 -0.42239544D+01  0.27943501D+01 -0.89441371D+01
   0.17000000D+01 -0.44230983D+01  0.25864483D+01 -0.88507745D+01
   0.17100000D+01 -0.46165135D+01  0.23747320D+01 -0.87619301D+01
   0.17200000D+01 -0.48040117D+01  0.21594435D+01 -0.86774349D+01
   0.17300000D+01 -0.49854059D+01  0.19408288D+01 -0.85971178D+01
   0.17400000D+01 -0.51605089D+01  0.17191339D+01 -0.85208074D+01
