        1000  1.000000000000000E-002           0   2.00000000000000     
   0.58000000D+00
   0.88000000D+00 -0.32726711D+02
   0.89000000D+00 -0.32358995D+02
   0.90000000D+00 -0.31999451D+02
   0.91000000D+00 -0.31647808D+02
   0.92000000D+00 -0.31303811D+02
   0.93000000D+00 -0.30967210D+02
   0.94000000D+00 -0.30637772D+02
   0.95000000D+00 -0.30315269D+02
   0.96000000D+00 -0.29999485D+02
   0.97000000D+00 -0.29690212D+02
   0.98000000D+00 -0.29387250D+02
   0.99000000D+00 -0.29090410D+02
   0.10000000D+01 -0.28799505D+02
   0.10100000D+01 -0.28514362D+02
   0.10200000D+01 -0.28234809D+02
   0.10300000D+01 -0.27960685D+02
   0.10400000D+01 -0.27691832D+02
   0.10500000D+01 -0.27428100D+02
   0.10600000D+01 -0.27169345D+02
   0.10700000D+01 -0.26915426D+02
   0.10800000D+01 -0.26666208D+02
   0.10900000D+01 -0.26421565D+02
   0.11000000D+01 -0.26181368D+02
   0.11100000D+01 -0.25945500D+02
   0.11200000D+01 -0.25713844D+02
   0.11300000D+01 -0.25486288D+02
   0.11400000D+01 -0.25262724D+02
   0.11500000D+01 -0.25043048D+02
   0.11600000D+01 -0.24827160D+02
   0.11700000D+01 -0.24614962D+02
   0.11800000D+01 -0.24406360D+02
   0.11900000D+01 -0.24201265D+02
   0.12000000D+01 -0.23999588D+02
   0.12100000D+01 -0.23801244D+02
   0.12200000D+01 -0.23606152D+02
   0.12300000D+01 -0.23414232D+02
   0.12400000D+01 -0.23225407D+02
   0.12500000D+01 -0.23039604D+02
   0.12600000D+01 -0.22856751D+02
   0.12700000D+01 -0.22676776D+02
   0.12800000D+01 -0.22499613D+02
   0.12900000D+01 -0.22325198D+02
   0.13000000D+01 -0.22153466D+02
   0.13100000D+01 -0.21984355D+02
   0.13200000D+01 -0.21817807D+02
   0.13300000D+01 -0.21653764D+02
   0.13400000D+01 -0.21492168D+02
   0.13500000D+01 -0.21332967D+02
   0.13600000D+01 -0.21176107D+02
   0.13700000D+01 -0.21021537D+02
   0.13800000D+01 -0.20869207D+02
